Feature ID	2M-Total	4M-Total	6m-Total	2M-HS-Total	4M-HS-Total	6M-HS-Total
CGI_10000707	67	28	31	43	7	22
CGI_10000708	0	3	0	0	0	0
CGI_10000709	3	0	5	0	0	1
CGI_10000710	445	220	266	409	205	196
CGI_10000711	0	0	0	0	0	0
CGI_10000712	2328	1095	1371	1589	438	331
CGI_10000713	133	180	320	117	52	451
CGI_10000714	73	5	73	29	7	15
CGI_10000715	140	123	122	82	102	63
CGI_10000717	30	29	19	9	6	4
CGI_10000718	32	27	20	12	6	4
CGI_10000719	1	1	2	1	0	3
CGI_10000720	39	35	24	48	29	23
CGI_10000721	21	251	20	12	482	26
CGI_10000723	0	0	0	0	0	0
CGI_10000724	0	1	7	1	8	6
CGI_10000725	88	91	93	198	287	450
CGI_10000726	0	2	1	0	4	12
CGI_10000727	5	4	5	4	7	9
CGI_10000728	4	0	2	2	1	9
CGI_10000730	21	1	5	14	0	0
CGI_10000731	75	27	54	46	117	43
CGI_10000732	1	0	0	0	0	0
CGI_10000733	601	393	396	613	545	482
CGI_10000734	0	0	0	1	3	0
CGI_10000735	4	7	14	4	6	25
CGI_10000736	0	11	0	0	1	0
CGI_10000737	19	12	11	42	24	14
CGI_10000738	328	214	227	448	287	231
CGI_10000739	21	20	13	11	14	16
CGI_10000740	338	33	31	195	22	36
CGI_10000741	25	19	34	21	5	10
CGI_10000742	40	32	27	62	26	45
CGI_10000743	562	672	1345	385	335	1065
CGI_10000744	4	3	1	3	6	6
CGI_10000745	159	109	119	127	29	49
CGI_10000746	5	9	4	3	7	7
CGI_10000747	280	334	238	212	77	22
CGI_10000748	59	57	64	87	122	470
CGI_10000749	18	15	5	13	8	9
CGI_10000750	9	22	27	13	20	7
CGI_10000751	150	84	94	126	63	60
CGI_10000752	0	0	0	0	0	1
CGI_10000753	2	1	0	0	0	0
CGI_10000754	31	18	5	60	10	14
CGI_10000755	265	236	173	393	128	158
CGI_10000756	135	156	213	73	23	219
CGI_10000757	4	1	3	6	3	0
CGI_10000758	0	1	2	0	3	1
CGI_10000759	287	213	199	352	242	162
CGI_10000760	21	7	8	41	30	16
CGI_10000761	191	161	132	240	85	85
CGI_10000762	43	28	15	24	6	7
CGI_10000763	4	2	10	1	0	9
CGI_10000764	0	0	0	0	2	0
CGI_10000765	1	0	0	0	0	0
