baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10004804,56.7509562629758,2.05539180593241,0.539261102879036,3.811496499486,0.000138128012090791,0.00208441799520171
CGI_10004811,1132.923753221,2.72884019108053,0.362204747523733,7.5339713511119,4.92199301772279E-14,1.22602371532368E-11
CGI_10004812,124.599945677485,2.3199006207179,0.482526913021926,4.80781601629024,1.52588095118012E-06,5.46427416603839E-05
CGI_10004828,209.207852229452,4.07310597508318,0.408666945812992,9.9668104230457,2.12958058218676E-23,2.7230237044228E-20
CGI_10004830,3579.28302491777,0.81848481606139,0.282260051495853,2.899754363835,0.00373455195701752,0.0252480460118421
CGI_10004835,387.099710116406,-0.986265229925746,0.315204862487787,-3.12896578479641,0.00175422733759422,0.0144341828979224
CGI_10004837,133.548660136011,1.9014491427081,0.456051609614949,4.169372725849,3.05439125793257E-05,0.000631965742471916
CGI_10004838,16.4348422776143,2.46338812582599,0.502133996433945,4.90583816933423,9.30292060619154E-07,3.57971615404308E-05
CGI_10004839,121.288190108756,1.3200391484901,0.390115949959463,3.38370976276994,0.000715135566318486,0.0073822928751284
CGI_10004842,59.1169265258869,-1.41094037416312,0.380813858004013,-3.70506572832823,0.000211335923406088,0.00294580160677963
CGI_10004863,1992.19629101938,2.60175813621877,0.375328052763117,6.93195756902518,4.1505646622166E-12,7.43998413283312E-10
CGI_10004864,452.349127227679,0.996896561244257,0.358438094281952,2.7812238072555,0.00541543888657483,0.0334626668313483
CGI_10004865,1782.69346657406,2.2137655388722,0.476735090258207,4.64359679853478,3.42395460316231E-06,0.000106436708733636
CGI_10004868,666.577335299813,-1.33584429031689,0.368069517242292,-3.62932605863563,0.000284162130680555,0.00368672112146817
CGI_10004885,138.721736527379,-1.09356990724721,0.310252074266812,-3.52477871366867,0.000423836685980231,0.00499562452710493
CGI_10004886,76.3558598513983,-1.27822036875877,0.401508779839971,-3.18354275906053,0.00145484624005199,0.0125693472451339
CGI_10004906,90.9288251336252,-1.32973380119289,0.440901776383924,-3.01594112888082,0.00256182994012132,0.019124595651009
CGI_10004910,190.757295044989,-1.41715347087696,0.384938380978109,-3.68150732924072,0.000231859122768222,0.00315170657313572
CGI_10004917,92.9074921063936,-1.08101811908401,0.30598936124864,-3.53286177883027,0.000411087338518296,0.00489426142320355
CGI_10004932,165.518660474676,1.14744264615007,0.432676407798551,2.65196489909914,0.00800248606728646,0.0442710362764795
CGI_10004937,142.597085888562,1.37504710812443,0.393939418040752,3.4905039839963,0.000482110424754711,0.00546505788817693
CGI_10004938,23.4709572995144,2.17098625306274,0.4895371053393,4.43477364511118,9.21690787626142E-06,0.00023728898398214
CGI_10004944,65.0800662718156,-1.3843940096521,0.52977190485371,-2.61318880251754,0.00897017333049353,0.048233228056873
